name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gresik,3/1/2020,30.7,25.4,27.8,39.3,25.4,31.3,25.2,86.4,28,100,4.17,rain,0,0,33.5,20.5,287.2,1008.9,94.8,8.2,135.4,11.7,6,,2020-03-01T05:34:32,2020-03-01T17:48:49,0.22,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,3/2/2020,33.7,25.4,28.5,42.6,25.4,32.8,25.2,82.9,15,100,4.17,rain,0,0,32.8,16.2,279.3,1008.8,78.7,7.5,259.7,22.5,9,,2020-03-02T05:34:31,2020-03-02T17:48:24,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,3/3/2020,32.6,26.2,28.6,42.3,26.2,34.2,25.7,84.4,26.9,100,16.67,rain,0,0,25.9,11.9,280.2,1009.3,87.1,8,212.4,18.4,8,,2020-03-03T05:34:31,2020-03-03T17:48:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,3/4/2020,30.7,25.6,27.7,37.9,25.6,31.9,25.3,87.3,3,100,4.17,rain,0,0,22.3,15.1,268,1009.4,90.8,7.2,191.5,16.6,9,,2020-03-04T05:34:29,2020-03-04T17:47:35,0.32,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,3/5/2020,31.7,26.2,28.1,38.2,26.2,32.1,25.2,84.5,0.4,100,8.33,rain,0,0,26.3,13.3,276.8,1009.3,97.1,8.7,120.7,10.4,5,,2020-03-05T05:34:28,2020-03-05T17:47:09,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,3/6/2020,32.8,25.7,28.1,39.2,25.7,31.7,24.8,82.8,11,100,8.33,rain,0,0,20.5,18.4,281.9,1010.3,95.8,7.8,160.3,14,6,,2020-03-06T05:34:26,2020-03-06T17:46:44,0.38,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,3/7/2020,31.3,25.1,27.3,38.7,25.1,29.4,24.7,85.8,48.4,100,16.67,rain,0,0,25.2,14.8,290.7,1010.9,95.6,7.9,168.6,14.6,7,,2020-03-07T05:34:23,2020-03-07T17:46:17,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,3/8/2020,31.6,24.9,27.7,38.5,24.9,30.9,24.9,85.4,1,100,4.17,rain,0,0,30.2,31.7,292.2,1009.7,91.5,8.6,177.7,15.3,7,,2020-03-08T05:34:21,2020-03-08T17:45:50,0.45,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"96933099999,96935099999,remote"
Gresik,3/9/2020,33.5,25.9,27.9,42,25.9,30.6,24.9,84.8,5,100,8.33,rain,0,0,31.3,13.7,277.9,1008.7,94.4,7.9,181.9,15.9,8,,2020-03-09T05:34:17,2020-03-09T17:45:23,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,3/10/2020,32,25.6,28.8,39.2,25.6,32.9,25,80.4,2.5,100,37.5,rain,0,0,21.6,12.8,318.2,1008.4,90.1,7.6,204.2,17.7,8,,2020-03-10T05:34:14,2020-03-10T17:44:56,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96933099999,96935099999,remote"
Gresik,3/11/2020,33,27.5,29.8,43.1,32.1,36.7,25.9,80.3,3.3,100,29.17,rain,0,0,32.4,18.4,303.6,1009.2,80.6,7.6,247.5,21.4,9,,2020-03-11T05:34:10,2020-03-11T17:44:28,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96933099999,96935099999,remote"
Gresik,3/12/2020,33.7,27.8,30,43.1,32.9,36.8,25.9,79.2,4.9,100,16.67,rain,0,0,28.1,11.2,302.8,1011,81.6,8.2,253.7,21.9,10,,2020-03-12T05:34:06,2020-03-12T17:44:00,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,3/13/2020,33.3,26.2,28.9,41.6,26.2,33.9,25.3,81.6,25,100,4.17,rain,0,0,24.8,14.8,271.2,1011.9,89.6,7.2,235.8,20.2,9,,2020-03-13T05:34:02,2020-03-13T17:43:32,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,3/14/2020,32.2,25.7,28.8,40.5,25.7,33.8,25.4,82.6,7,100,4.17,rain,0,0,16.2,13,174.2,1010.6,81.2,7.6,171.6,14.8,7,,2020-03-14T05:33:57,2020-03-14T17:43:03,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,3/15/2020,32.8,26.6,29.1,41.1,26.6,34.4,25.4,81.1,10.2,100,45.83,rain,0,0,16.2,7.6,87.5,1010,87.7,7.6,223.6,19.4,9,,2020-03-15T05:33:52,2020-03-15T17:42:34,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96933099999,96935099999,remote"
Gresik,3/16/2020,33,26.6,29.1,41.7,26.6,34.1,25.2,80.4,16,100,4.17,rain,0,0,19.1,11.2,112.6,1010.8,84,8.8,245,21.2,9,,2020-03-16T05:33:47,2020-03-16T17:42:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,3/17/2020,32.9,26.2,29,41.5,26.2,34,25.2,80.7,7.6,100,12.5,rain,0,0,23.4,11.3,116.5,1011.1,90.3,8.3,235.5,20.6,9,,2020-03-17T05:33:42,2020-03-17T17:41:36,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,3/18/2020,31.5,25.6,28.1,39,25.6,32,24.9,83.5,8.8,100,12.5,rain,0,0,29.2,18.4,115,1010.6,82,7.5,202.7,17.3,8,,2020-03-18T05:33:37,2020-03-18T17:41:07,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96933099999,96935099999,remote"
